Company,Industry,Size
Tracxn Technologies,Finance,Mid-size (51-500)
Hyundai Motor Company,Retail,Large (500+)
ICON plc,Technology,Large (500+)
Universitätsmedizin Göttingen UMG,Retail,Large (500+)
Roland Berger,Marketing,Large (500+)
Ankura,Healthcare,Mid-size (51-500)
RWTH Aachen University,Finance,Large (500+)
Skm Group,Marketing,Startup (1-50)
E.ON,Retail,Mid-size (51-500)
Siemens Healthineers,Education,Startup (1-50)
Amazon Web Services,Finance,Startup (1-50)
Microsoft,Hospitality,Mid-size (51-500)
TeamViewer,Retail,Startup (1-50)
SCALEUP.agency,Technology,Startup (1-50)
GETEC Group,Hospitality,Mid-size (51-500)
TieTalent,Manufacturing,Startup (1-50)
DFB,Retail,Startup (1-50)
BCG X,Marketing,Large (500+)
eleva,Finance,Startup (1-50)
VISPIRON SYSTEMS GmbH,Hospitality,Startup (1-50)
EX Venture Inc.,Education,Startup (1-50)
Diehl Group,Manufacturing,Startup (1-50)
Elevear,Healthcare,Large (500+)
Diehl Defence,Finance,Startup (1-50)
KLU Alumni Association e.V .,Marketing,Mid-size (51-500)
Technische Universität München (Technical University of Munich),Finance,Mid-size (51-500)
APP-TECH S.R.L.,Technology,Mid-size (51-500)
Microsoft Innovation Center,Hospitality,Mid-size (51-500)
LexisNexis Risk Solutions Healthcare,Finance,Large (500+)
Planet A Foods,Finance,Startup (1-50)
CHECK24 Vergleichsportal GmbH,Technology,Startup (1-50)
NewNow,Education,Large (500+)
Salzgitter Mannesmann Stahlhandel GmbH,Technology,Large (500+)
byways,Marketing,Mid-size (51-500)
ZEISS Group,Finance,Startup (1-50)
German Aerospace Center (DLR),Finance,Large (500+)
Studyflix,Healthcare,Startup (1-50)
Mercedes-Benz Mobility AG,Hospitality,Startup (1-50)
Fraunhofer UMSICHT,Education,Large (500+)
Vodafone,Hospitality,Startup (1-50)
Deutsche Telekom Technik GmbH,Retail,Startup (1-50)
BMW,Manufacturing,Startup (1-50)
eFinancialCareers GmbH,Technology,Mid-size (51-500)
Telekom Deutschland GmbH,Education,Startup (1-50)
Snowflake,Education,Mid-size (51-500)
Siegwerk Druckfarben AG & Co. KGaA,Marketing,Mid-size (51-500)
Hella,Hospitality,Startup (1-50)
Schwarz Corporate Solutions,Education,Large (500+)
doubleSlash Net-Business GmbH,Education,Startup (1-50)
DENPAFLUX GmbH,Education,Large (500+)
Emerson,Healthcare,Startup (1-50)
Alfred Kärcher SE & Co. KG,Manufacturing,Startup (1-50)
Airteam Aerial Intelligence GmbH,Finance,Startup (1-50)
WITRON Logistik + Informatik GmbH,Manufacturing,Large (500+)
Nestlé,Manufacturing,Startup (1-50)
Inter Versicherungsgruppe,Healthcare,Mid-size (51-500)
Porsche Leipzig GmbH,Healthcare,Large (500+)
Porsche Engineering Group,Hospitality,Mid-size (51-500)
Particle14 Infotech,Healthcare,Large (500+)
Sonix Solar GmbH - Solartraders,Healthcare,Large (500+)
roclub,Hospitality,Mid-size (51-500)
badenova AG & Co. KG,Finance,Large (500+)
Broetje-Automation GmbH,Manufacturing,Mid-size (51-500)
Fresenius Kabi,Manufacturing,Startup (1-50)
cavalis,Hospitality,Large (500+)
Europa-Park GmbH & Co Mack KG,Marketing,Startup (1-50)
Ommax Gmbh,Hospitality,Mid-size (51-500)
Miles & More GmbH,Finance,Startup (1-50)
ZEISS,Healthcare,Mid-size (51-500)
PricewaterhouseCoopers GmbH WPG,Finance,Startup (1-50)
GISA GmbH,Manufacturing,Large (500+)
Bosch Thermotechnik GmbH,Hospitality,Startup (1-50)
Einhell Germany AG,Manufacturing,Large (500+)
Markt Pilot,Finance,Startup (1-50)
HypoVereinsbank - UniCredit Bank GmbH,Finance,Mid-size (51-500)
FERRERO Deutschland,Manufacturing,Startup (1-50)
SoundCloud,Manufacturing,Large (500+)
Generali Deutschland AG,Healthcare,Mid-size (51-500)
PwC Germany,Retail,Startup (1-50)
Volkswagen Group,Hospitality,Startup (1-50)
Oliver Wyman Group,Healthcare,Large (500+)
trawa,Technology,Large (500+)
FINN,Retail,Startup (1-50)
KPMG AG,Technology,Large (500+)
Samsung Germany,Marketing,Mid-size (51-500)
Miele,Healthcare,Mid-size (51-500)
Deutsche Bank,Technology,Mid-size (51-500)
finn.auto,Education,Startup (1-50)
Hugo Boss,Manufacturing,Startup (1-50)
Thermosphr,Technology,Mid-size (51-500)
Abroad Internships,Healthcare,Mid-size (51-500)
Indeed,Hospitality,Startup (1-50)
BWI GmbH,Retail,Large (500+)
Circunomics,Education,Startup (1-50)
D4L data4life gGmbH,Retail,Mid-size (51-500)
Windmöller & Hölscher,Healthcare,Startup (1-50)
kreuznacher diakonie,Healthcare,Startup (1-50)
entero AG,Education,Large (500+)
KRAHN CHEMIE GMBH,Manufacturing,Startup (1-50)
Cambridge International Systems,Technology,Startup (1-50)
Handelsblatt GmbH,Hospitality,Large (500+)
Abbott,Technology,Startup (1-50)
Bäckerei & Konditorei Raisch,Retail,Mid-size (51-500)
Heinstadt und Reiss GmbH,Hospitality,Mid-size (51-500)
Hartmann,Manufacturing,Mid-size (51-500)
Streetbuzz Distribution,Healthcare,Mid-size (51-500)
Quinyx,Healthcare,Large (500+)
TechBiz Global GmbH,Marketing,Startup (1-50)
Porsche AG,Manufacturing,Mid-size (51-500)
Montblanc,Finance,Startup (1-50)
C&A,Education,Mid-size (51-500)
QIAGEN,Hospitality,Mid-size (51-500)
Consultport,Education,Startup (1-50)
ecoplanet,Finance,Mid-size (51-500)
TA Europe,Manufacturing,Mid-size (51-500)
charles,Technology,Startup (1-50)
Marriott International,Retail,Large (500+)
"Jinko Solar Co., Ltd.",Technology,Large (500+)
HUGO BOSS,Marketing,Large (500+)
Wolt,Healthcare,Mid-size (51-500)
European Investment Bank (EIB),Education,Large (500+)
Dataiku,Healthcare,Mid-size (51-500)
Boston Consulting Group (BCG),Hospitality,Mid-size (51-500)
DNV,Retail,Large (500+)
EnBW Energie Baden-Württemberg AG,Manufacturing,Large (500+)
MARKT-PILOT,Retail,Mid-size (51-500)
Franco Consulting GmbH,Healthcare,Mid-size (51-500)
Lufthansa Innovation Hub,Manufacturing,Startup (1-50)
BASF,Finance,Startup (1-50)
innnow,Retail,Mid-size (51-500)
NavVis,Healthcare,Startup (1-50)
Bergzeit,Hospitality,Startup (1-50)
Forvis Mazars,Hospitality,Large (500+)
Dr. Ing. h.c. F. Porsche AG,Hospitality,Large (500+)
Ostend Digital,Hospitality,Mid-size (51-500)
Assystant,Marketing,Startup (1-50)
CompuGroup Medical,Technology,Mid-size (51-500)
Continental,Retail,Large (500+)
PIMCO,Healthcare,Large (500+)
Tesla,Education,Startup (1-50)
Roland Berger Holding GmbH,Marketing,Startup (1-50)
Studyflix Gmbh,Manufacturing,Startup (1-50)
Krones AG,Education,Mid-size (51-500)
Upvest,Marketing,Mid-size (51-500)
S-Kreditpartner,Technology,Large (500+)
"Valantic Digital Finance: Consultant, Manager, Solution Engineer",Marketing,Mid-size (51-500)
SWU Stadtwerke Ulm/Neu-Ulm GmbH,Finance,Startup (1-50)
acemate.ai,Marketing,Startup (1-50)
Picnic Technologies,Technology,Large (500+)
Artivion EMEA,Retail,Mid-size (51-500)
Kaufland,Retail,Mid-size (51-500)
MPC Capital AG,Education,Large (500+)
Ingenics Career,Marketing,Large (500+)
PIMCO Prime Real Estate,Education,Mid-size (51-500)
Prodware,Technology,Large (500+)
Bonsai GmbH,Hospitality,Startup (1-50)
ENTEGA AG,Hospitality,Large (500+)
Parloa,Finance,Large (500+)
Apple,Technology,Startup (1-50)
Elia Grid International,Manufacturing,Large (500+)
Infineon Technologies,Education,Startup (1-50)
Döhler,Retail,Startup (1-50)
Luminovo GmbH,Finance,Mid-size (51-500)
Carbmee GmbH,Technology,Startup (1-50)
Luminovo,Manufacturing,Large (500+)
S&P Global,Hospitality,Large (500+)
Kia Europe GmbH,Manufacturing,Large (500+)
MTU Maintenance Berlin-Brandenburg GmbH,Technology,Mid-size (51-500)
EcoPhi Renewables Engineering GmbH,Finance,Mid-size (51-500)
4screen,Retail,Mid-size (51-500)
Beiersdorf AG,Marketing,Large (500+)
Gerresheimer,Finance,Large (500+)
SellerX,Finance,Large (500+)
Merck KGaA Darmstadt Germany,Education,Startup (1-50)
SMA Solar Technology AG,Hospitality,Mid-size (51-500)
Taxfix,Retail,Mid-size (51-500)
Bosch Group,Retail,Mid-size (51-500)
Mercedes-Benz AG,Healthcare,Large (500+)
paretos GmbH,Technology,Large (500+)
H&Z Unternehmensberatung AG,Marketing,Large (500+)
Grant Thornton,Technology,Mid-size (51-500)
cariad,Healthcare,Mid-size (51-500)
Commerzbank AG Deutschland,Education,Mid-size (51-500)
Sewts,Manufacturing,Mid-size (51-500)
Forget Finance,Finance,Large (500+)
AMAZONEN-WERKE H. DREYER SE & Co. KG,Technology,Startup (1-50)
master-TMS,Finance,Large (500+)
Siemens,Hospitality,Large (500+)
GIM - Gesellschaft für Innovative Marktforschung mbH,Education,Mid-size (51-500)
TN Germany,Hospitality,Large (500+)
AXA Konzern AG,Technology,Large (500+)
Novo AI,Education,Mid-size (51-500)
newnow.group,Retail,Large (500+)
Germany Jobs,Manufacturing,Mid-size (51-500)
MARKT-PILOT GmbH,Manufacturing,Startup (1-50)
Capgemini,Retail,Mid-size (51-500)
FUTRUE GmbH,Hospitality,Startup (1-50)
VAARHAFT,Healthcare,Large (500+)
Predium,Education,Mid-size (51-500)
adesso SE,Manufacturing,Startup (1-50)
Bundesdruckerei,Hospitality,Large (500+)
Varengold Bank AG,Retail,Large (500+)
Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,Technology,Large (500+)
Functional,Education,Mid-size (51-500)
UniteLabs,Retail,Startup (1-50)
Matchory GmbH,Marketing,Startup (1-50)
acto GmbH,Manufacturing,Mid-size (51-500)
UMB AG,Manufacturing,Mid-size (51-500)
Beiersdorf Shared Services GmbH,Healthcare,Large (500+)
Zalando,Finance,Large (500+)
Allplan Deutschland GmbH,Retail,Mid-size (51-500)
Climatiq,Manufacturing,Large (500+)
indie,Manufacturing,Large (500+)
grey engineering GmbH,Manufacturing,Startup (1-50)
3M,Manufacturing,Startup (1-50)
United Internet,Education,Large (500+)
VIRTUS Data Centres,Healthcare,Large (500+)
Volkswagen Algérie,Finance,Mid-size (51-500)
Lucid Motors Europe,Retail,Large (500+)
Airbus,Education,Mid-size (51-500)
Stryker,Healthcare,Startup (1-50)
carbmee,Hospitality,Startup (1-50)
Trusted Shops,Technology,Mid-size (51-500)
CoreTylynt,Education,Mid-size (51-500)
Forschungsverbund Berlin e.V.,Hospitality,Large (500+)
CIB labs S.L.,Hospitality,Startup (1-50)
HOSOKAWA SOLIDS,Finance,Large (500+)
PAYONE,Education,Large (500+)
Wölfel Group,Manufacturing,Large (500+)
Enpal,Finance,Mid-size (51-500)
Fraunhofer Institute for Production Technology IPT,Retail,Mid-size (51-500)
Deepki,Hospitality,Large (500+)
Leibniz Association,Finance,Large (500+)
Technische Universität Dresden,Manufacturing,Large (500+)
PowerCo,Marketing,Large (500+)
X2E GmbH,Technology,Startup (1-50)
Hyundai Motor Europe Technical Center GmbH,Healthcare,Startup (1-50)
Draxon GmbH,Finance,Mid-size (51-500)
SENACOR,Hospitality,Mid-size (51-500)
PERI,Retail,Large (500+)
SPORTFIVE Global Holding GmbH,Education,Large (500+)
AMETRAS informatik AG,Finance,Mid-size (51-500)
Anker Innovations Deutschland GmbH,Marketing,Large (500+)
TeamViewer GmbH,Technology,Startup (1-50)
KEBA,Hospitality,Large (500+)
TIMETOACT Group,Marketing,Startup (1-50)
AI Tutor,Retail,Large (500+)
Circus SE,Technology,Mid-size (51-500)
Digital Loop,Manufacturing,Large (500+)
W. & L. JORDAN GmbH,Healthcare,Large (500+)
Tipico,Retail,Large (500+)
KARDEX,Education,Mid-size (51-500)
WITTENSTEIN SE,Healthcare,Startup (1-50)
wolt,Manufacturing,Mid-size (51-500)
Ebury,Hospitality,Mid-size (51-500)
Infosys,Finance,Mid-size (51-500)
Seagate Technology,Healthcare,Large (500+)
Grover,Finance,Large (500+)
Google,Technology,Startup (1-50)
valantic GmbH,Technology,Startup (1-50)
Integrated Worlds,Hospitality,Large (500+)
zooplus,Finance,Large (500+)
Nexperia Germany GmbH,Education,Startup (1-50)
Boehringer Ingelheim,Retail,Mid-size (51-500)
MATERA,Hospitality,Startup (1-50)
SuperBioMarkt AG,Education,Startup (1-50)
ScaleUp,Education,Large (500+)
BIRKENSTOCK,Retail,Mid-size (51-500)
C3 Creative Code and Content,Hospitality,Startup (1-50)
DB Netz AG,Finance,Startup (1-50)
clever fit,Healthcare,Large (500+)
Siegwerk,Marketing,Large (500+)
COLIFT Expert Network,Technology,Large (500+)
IAV GmbH,Education,Mid-size (51-500)
Mirakl,Healthcare,Mid-size (51-500)
Netze BW GmbH,Manufacturing,Startup (1-50)
Senger Mobility,Hospitality,Large (500+)
Intega Solutions,Retail,Large (500+)
PBVI GmbH,Education,Large (500+)
Scheer IDS,Technology,Mid-size (51-500)
Qualifyze,Healthcare,Mid-size (51-500)
R. Brand Group,Hospitality,Large (500+)
S&B Strategy,Manufacturing,Startup (1-50)
Schwarz IT,Education,Startup (1-50)
okadis Consulting GmbH,Retail,Large (500+)
zeb consulting,Finance,Large (500+)
MGRP Holding GmbH,Education,Large (500+)
Ulrich von Ey,Healthcare,Large (500+)
PwC Deutschland,Technology,Large (500+)
HUGO BOSS AG,Finance,Large (500+)
Richard Consulting GmbH,Hospitality,Large (500+)
Campana & Schott,Retail,Mid-size (51-500)
Stellantis,Manufacturing,Startup (1-50)
Senacor Technologies AG,Healthcare,Mid-size (51-500)
CMS IT-Consulting GmbH,Retail,Mid-size (51-500)
Senacor,Retail,Mid-size (51-500)
mindsquare AG,Finance,Startup (1-50)
dSPACE GmbH,Hospitality,Large (500+)
Senacor Technologies AG - Office Bonn,Manufacturing,Startup (1-50)
CGI,Marketing,Startup (1-50)
Drees & Sommer SE,Education,Large (500+)
Avanade Deutschland GmbH,Technology,Startup (1-50)
Senacor Technologies,Healthcare,Mid-size (51-500)
KUMAVISION AG,Retail,Startup (1-50)
affinis AG,Manufacturing,Large (500+)
DATAGROUP SE,Healthcare,Large (500+)
gotoitcareer GmbH,Finance,Startup (1-50)
Osborne Clarke,Marketing,Mid-size (51-500)
Exxeta,Marketing,Startup (1-50)
Pass Consulting Group,Finance,Large (500+)
Deutsche Krankenhausgesellschaft,Marketing,Large (500+)
Projektron GmbH,Manufacturing,Mid-size (51-500)
think about IT GmbH,Manufacturing,Startup (1-50)
Softline GmbH,Education,Startup (1-50)
SchwarzIT,Finance,Startup (1-50)
datagroup,Finance,Large (500+)
VSB Gruppe,Retail,Large (500+)
PROLOGA GmbH,Technology,Mid-size (51-500)
indevis IT-Consulting and Solutions GmbH,Education,Mid-size (51-500)
TEAM Baumanagement GmbH,Education,Mid-size (51-500)
HighCoordination GmbH,Retail,Mid-size (51-500)
DTS IT AG,Education,Mid-size (51-500)
Lowell,Healthcare,Mid-size (51-500)
CloudCommand GmbH,Hospitality,Large (500+)
DATAGROUP ( ehemals ISC Innovative Systems Consulting AG),Manufacturing,Startup (1-50)
WM Gruppe,Hospitality,Large (500+)
NTT DATA Europe & Latam,Marketing,Large (500+)
Bechtle,Hospitality,Startup (1-50)
smatch,Retail,Mid-size (51-500)
QBiz-IT GmbH,Healthcare,Startup (1-50)
rola Security Solutions GmbH,Healthcare,Large (500+)
Grant Thornton Germany,Healthcare,Large (500+)
Inetum,Hospitality,Large (500+)
Cognira,Education,Mid-size (51-500)
Uphold,Hospitality,Startup (1-50)
Celfocus,Education,Large (500+)
team.blue Global,Healthcare,Large (500+)
Johnson & Johnson,Retail,Mid-size (51-500)
Fox IT,Hospitality,Large (500+)
BNP Paribas,Retail,Mid-size (51-500)
Wallarm,Hospitality,Startup (1-50)
Kaizen Gaming,Hospitality,Mid-size (51-500)
Feedzai,Hospitality,Mid-size (51-500)
Synopsys,Manufacturing,Large (500+)
Coalition Inc.,Retail,Startup (1-50)
Bosch,Marketing,Large (500+)
Wellhub,Finance,Startup (1-50)
Grünenthal,Manufacturing,Mid-size (51-500)
Nordex Group,Retail,Startup (1-50)
Damia Group,Hospitality,Mid-size (51-500)
Intermedia,Marketing,Startup (1-50)
Avam Sciences,Marketing,Mid-size (51-500)
Energy21,Marketing,Mid-size (51-500)
DSV,Hospitality,Large (500+)
Prozis,Technology,Large (500+)
Devoteam,Manufacturing,Large (500+)
Cisco,Retail,Mid-size (51-500)
Geberit Middle East & Africa,Finance,Large (500+)
Galp,Manufacturing,Startup (1-50)
Glovo,Finance,Large (500+)
Anova,Manufacturing,Startup (1-50)
Sky Portugal,Healthcare,Mid-size (51-500)
Miniclip,Hospitality,Large (500+)
Emma – The Sleep Company,Finance,Large (500+)
Bison Bank,Technology,Large (500+)
COFCO International,Retail,Startup (1-50)
Bolt,Finance,Startup (1-50)
greenmetrics.ai,Hospitality,Mid-size (51-500)
Generali Tranquilidade,Manufacturing,Mid-size (51-500)
login.works,Technology,Large (500+)
SilicoLife,Retail,Startup (1-50)
"ANA - Aeroportos de Portugal, SA",Retail,Startup (1-50)
Frvr,Healthcare,Mid-size (51-500)
Indie Campers,Technology,Large (500+)
Inventa,Retail,Startup (1-50)
Ruby Labs,Technology,Large (500+)
McKinsey & Company,Education,Large (500+)
KENCKO,Finance,Mid-size (51-500)
Hydro,Healthcare,Startup (1-50)
Purpose Project Makers,Technology,Startup (1-50)
Keyrus Portugal,Education,Startup (1-50)
ComparaJá.pt,Healthcare,Mid-size (51-500)
Amgen,Healthcare,Large (500+)
Mastercard,Hospitality,Startup (1-50)
Nestlé USA,Finance,Mid-size (51-500)
Talkdesk,Hospitality,Startup (1-50)
WIRE IT,Manufacturing,Large (500+)
smartNsales Portugal Lda,Marketing,Startup (1-50)
FC Porto,Retail,Mid-size (51-500)
Philip Morris International,Education,Startup (1-50)
CTT - Correios de Portugal,Technology,Mid-size (51-500)
Optylon Krea,Healthcare,Startup (1-50)
"Trivalor SGPS, SA",Finance,Mid-size (51-500)
Banco CTT,Manufacturing,Mid-size (51-500)
Grupo Rolear,Finance,Startup (1-50)
Portway - Handling de Portugal S. A.,Manufacturing,Startup (1-50)
Reltio,Retail,Large (500+)
"Fapajal, S.A.",Retail,Mid-size (51-500)
Dremio,Technology,Large (500+)
Boost-it,Marketing,Startup (1-50)
Emma The Sleep Company,Manufacturing,Startup (1-50)
NetJets,Retail,Mid-size (51-500)
NOS Comunicações,Retail,Mid-size (51-500)
SIXT,Marketing,Large (500+)
Organon Pharmaceuticals,Manufacturing,Mid-size (51-500)
Capgemini Engineering,Retail,Large (500+)
BearingPoint,Hospitality,Large (500+)
Meritis,Education,Mid-size (51-500)
SpotOn TA,Education,Large (500+)
Essity,Healthcare,Large (500+)
smARTcat,Marketing,Startup (1-50)
Paymentology,Retail,Mid-size (51-500)
Outliant,Healthcare,Startup (1-50)
askblue,Technology,Mid-size (51-500)
Volkswagen Group Services – Portugal,Hospitality,Large (500+)
Visteon Portuguesa,Manufacturing,Startup (1-50)
i-charging,Retail,Startup (1-50)
Aptia Group,Marketing,Startup (1-50)
Mecwide,Finance,Mid-size (51-500)
Agicap,Manufacturing,Startup (1-50)
eNGN Technologies,Hospitality,Startup (1-50)
Sovos,Education,Large (500+)
TEKEVER,Marketing,Mid-size (51-500)
nfon,Marketing,Startup (1-50)
Natixis,Finance,Mid-size (51-500)
Klöckner Pentaplast,Manufacturing,Mid-size (51-500)
SONAE,Technology,Mid-size (51-500)
Neurons Lab,Hospitality,Mid-size (51-500)
Pipedrive,Hospitality,Startup (1-50)
PPG,Manufacturing,Large (500+)
Metyis AG,Marketing,Large (500+)
NielsenIQ,Finance,Mid-size (51-500)
SDG Group,Finance,Mid-size (51-500)
Cloudflare,Retail,Mid-size (51-500)
Samba TV,Healthcare,Startup (1-50)
"It-house - Global Business Solutions, Lda",Marketing,Startup (1-50)
Euronext,Marketing,Large (500+)
Infraspeak,Education,Startup (1-50)
BA GLASS,Technology,Startup (1-50)
Grupo JAP,Education,Large (500+)
HB-IT Consulting Group,Finance,Large (500+)
Movilges,Finance,Large (500+)
Fusion Consulting,Education,Large (500+)
Grit Solutions,Technology,Startup (1-50)
Kwan,Finance,Large (500+)
Sanofi,Marketing,Startup (1-50)
GSK,Healthcare,Mid-size (51-500)
United Nations,Finance,Startup (1-50)
Danone,Marketing,Mid-size (51-500)
Barilla,Retail,Large (500+)
Human Technopole,Technology,Large (500+)
SBM Offshore,Technology,Startup (1-50)
FAO,Finance,Large (500+)
Nestlé IT,Marketing,Mid-size (51-500)
Fater SpA,Marketing,Startup (1-50)
Prada,Technology,Mid-size (51-500)
Nozomi Networks,Technology,Mid-size (51-500)
DNP Photo Imaging Europe,Healthcare,Large (500+)
Chiesi Farmaceutici,Retail,Startup (1-50)
Italdesign,Hospitality,Mid-size (51-500)
DeLonghi,Technology,Startup (1-50)
Prima,Healthcare,Mid-size (51-500)
Bulgari,Finance,Large (500+)
Boston Scientific Corporation,Marketing,Mid-size (51-500)
Diennea MagNews,Technology,Large (500+)
Eli Lilly,Healthcare,Mid-size (51-500)
Mavriq,Manufacturing,Mid-size (51-500)
UniCredit,Finance,Large (500+)
Adents,Retail,Startup (1-50)
Antech Diagnostics,Marketing,Mid-size (51-500)
ANTARES VISION,Retail,Large (500+)
Tripadvisor,Manufacturing,Startup (1-50)
Txt Group,Finance,Large (500+)
Sun Chemical,Finance,Mid-size (51-500)
Bunge,Finance,Mid-size (51-500)
Thales,Technology,Mid-size (51-500)
WEP,Finance,Startup (1-50)
Aiko,Hospitality,Mid-size (51-500)
CMCC Foundation,Hospitality,Startup (1-50)
LUTECH SPA,Retail,Large (500+)
Meditrial Europe,Healthcare,Large (500+)
CLAC,Manufacturing,Startup (1-50)
Food and Agriculture Organization of the United Nations,Manufacturing,Large (500+)
MBDA,Retail,Mid-size (51-500)
Modine Manufacturing Company,Hospitality,Mid-size (51-500)
Sisal,Healthcare,Mid-size (51-500)
Kyndryl,Manufacturing,Mid-size (51-500)
EVERSANA,Marketing,Startup (1-50)
Volvo Group,Technology,Startup (1-50)
Ascom,Marketing,Startup (1-50)
Anaergia,Marketing,Mid-size (51-500)
Hitachi Energy,Education,Startup (1-50)
Kenvue,Manufacturing,Mid-size (51-500)
BIP,Retail,Startup (1-50)
ACCA Careers,Manufacturing,Large (500+)
PwC Italy,Finance,Startup (1-50)
De Nora,Education,Startup (1-50)
ION,Finance,Large (500+)
Sella,Retail,Mid-size (51-500)
Barilla Group,Education,Large (500+)
Zambon,Marketing,Large (500+)
Philips Healthcare Installation Teams,Technology,Startup (1-50)
Brown-Forman,Education,Startup (1-50)
theInterna,Technology,Large (500+)
Integral Ad Science,Finance,Large (500+)
Piemme S.p.A.,Education,Startup (1-50)
CRIF,Education,Mid-size (51-500)
IRCA Group,Hospitality,Startup (1-50)
CEVA Logistics,Hospitality,Mid-size (51-500)
Diennea,Technology,Mid-size (51-500)
Prada Group,Manufacturing,Startup (1-50)
Arthur D. Little,Finance,Startup (1-50)
OVS S.p.A.,Finance,Large (500+)
Prometeia,Finance,Startup (1-50)
Zoetis,Healthcare,Large (500+)
Alfasigma,Manufacturing,Large (500+)
Piaggio Group,Finance,Startup (1-50)
Bolton,Hospitality,Startup (1-50)
Bvlgari,Manufacturing,Mid-size (51-500)
De'Longhi Group,Technology,Startup (1-50)
Signify,Retail,Startup (1-50)
Valoreumano srl,Education,Mid-size (51-500)
Black & White Comunicazione srl,Marketing,Startup (1-50)
Integra Solutions srl Società Benefit,Healthcare,Startup (1-50)
Pirelli Tires,Healthcare,Large (500+)
MONTI 75 SRL,Marketing,Mid-size (51-500)
Piemme spa,Retail,Mid-size (51-500)
UniProf,Retail,Mid-size (51-500)
